,Username,Tweet id,Tweet,Language,Date,Location,Place,Coordinates
43,Kaushi Ariyabandu,1.40074E+18,"@gopiharan Correct me if I'm wrong, but isn't Amber alert is for child kidnapping /missing ?  Shouldn't this be a Flood alert... ?",en,4/6/2021 9:22,"Colombo, Sri Lanka",,
44,Kishan කරුණාරත්න,1.40069E+18,@nuzlyMN @NewsfirstSL Just checked. This is not for walk-in but to do the 💉 of those who had slots but couldn’t be done in their areas due to flooding yesterday plus a special program to 💉 previously selected/identified construction workers.,en,4/6/2021 6:02,"Colombo, Sri Lanka",,
45,Newsfirst.lk Sri Lanka,1.40067E+18,"03 missing in Ratnapura landslide; Irrigation Dept. warns of rising water levels

READ MORE: https://t.co/zWdL94oHZB

#lka #SriLanka #Weather #Flood #Rainfall https://t.co/uCG0gAhlqr",en,4/6/2021 4:22,"Colombo, Sri Lanka",,
46,Ranga Sirilal,1.40066E+18,"Minor flood warning issued for Ingiriya,  Horana, Agalawatte &amp; surrounding areas due to rising water levels of Kalu River : DMC",en,4/6/2021 3:33,"Colombo, Sri Lanka",,
47,Ranga Sirilal,1.40066E+18,Flooding reported in low lying areas of the Kelani &amp; Kalu rivers &amp; the Attanagalu Oya due to heavy rains. Irrigation Dept. requests residents &amp; motorists to remain vigilant.,en,4/6/2021 3:27,"Colombo, Sri Lanka",,
48,Newsfirst.lk Sri Lanka,1.40062E+18,"CODE RED: Minor Flood Warning for multiple areas on the banks of the Kalu River

READ MORE: https://t.co/GxgwFJ79cc

#lka #SriLanka #Weather #Flood #Rainfall https://t.co/DpqdiMqqDz",en,4/6/2021 1:15,"Colombo, Sri Lanka",,
49,Channa Mapitigama,1.40045E+18,"Flood, landslide warnings issued amid heavy rains.

More than 150mm rainfall for many areas in the country. 

#srilanka #srilankan #Colombo https://t.co/roLm4APf0n",en,3/6/2021 13:39,"Colombo, Sri Lanka",,
50,Melaka Jude,1.40045E+18,@nuzlyMN It's alright in some areas. Kelaniya is flood free on the main roads despite having rained heavily the entire day. There are places that are natural basins tho. Dematagoda area is one.,en,3/6/2021 13:34,"Kelaniya, Sri Lanka",,
51,DailyMirror,1.40042E+18,A minor flood situation was witnessed in Colombo https://t.co/hgJCU8IoLD,en,3/6/2021 12:07,"Colombo, Sri Lanka",,
52,Sunil Jayasiri,1.40042E+18,"A minor flood situation was witnessed in #Gampaha and #Colombo  Districts today with heavy rains, that experienced in most places in the country #SriLanka #lka  #flooding #heavyrain https://t.co/BpDHDymc3G",en,3/6/2021 11:48,Colombo-Sri Lanka,,
53,Newsfirst.lk Sri Lanka,1.40033E+18,"Minor flood warning for several areas in the Gampaha District

READ MORE: https://t.co/OIFaGfYMin

#lka #SriLanka #Weather #Flood #Gampaha https://t.co/QDFEYYP4ht",en,3/6/2021 6:06,"Colombo, Sri Lanka",,
,,,,,,,,
